,Unnamed: 0,id_turma,discente,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
15560,136535,57597051,585a86076d71152014a6dd7fee234bd0,3.0,2.5,t,5.0,10.0,APROVADO POR NOTA
15561,136536,57597051,585a86076d71152014a6dd7fee234bd0,2.0,5.0,f,5.0,10.0,APROVADO POR NOTA
15562,136537,57597051,585a86076d71152014a6dd7fee234bd0,1.0,5.5,f,5.0,10.0,APROVADO POR NOTA
15563,136538,57597051,4aa63133c963bd0936a731846d0be1b6,3.0,7.3,f,7.3,8.0,APROVADO
15564,136539,57597051,4aa63133c963bd0936a731846d0be1b6,2.0,9.3,f,7.3,8.0,APROVADO
15565,136540,57597051,4aa63133c963bd0936a731846d0be1b6,1.0,5.3,f,7.3,8.0,APROVADO
15566,136541,57597051,e68aa00afbec6ea1d2511386edeaf5d0,1.0,4.7,f,5.0,51.0,APROVADO POR NOTA
15567,136542,57597051,e68aa00afbec6ea1d2511386edeaf5d0,2.0,5.8,f,5.0,51.0,APROVADO POR NOTA
15568,136543,57597051,e68aa00afbec6ea1d2511386edeaf5d0,3.0,4.4,f,5.0,51.0,APROVADO POR NOTA
15579,136554,57597051,ca091f92ef898601c135aebeb42ab6aa,3.0,6.3,f,6.2,4.0,APROVADO POR NOTA
15580,136555,57597051,ca091f92ef898601c135aebeb42ab6aa,2.0,6.8,f,6.2,4.0,APROVADO POR NOTA
15581,136556,57597051,ca091f92ef898601c135aebeb42ab6aa,1.0,5.5,f,6.2,4.0,APROVADO POR NOTA
15582,136557,57597051,224c0a6a613d388c45235ef7c56afa46,2.0,4.9,f,5.8,20.0,APROVADO POR NOTA
15583,136558,57597051,224c0a6a613d388c45235ef7c56afa46,1.0,6.3,f,5.8,20.0,APROVADO POR NOTA
15584,136559,57597051,224c0a6a613d388c45235ef7c56afa46,3.0,6.1,f,5.8,20.0,APROVADO POR NOTA
15585,136560,57597051,4ab16fc330c852a118814a017a1b16ab,2.0,0.0,f,1.0,123.0,REPROVADO POR MÉDIA E POR FALTAS
15586,136561,57597051,4ab16fc330c852a118814a017a1b16ab,3.0,0.0,f,1.0,123.0,REPROVADO POR MÉDIA E POR FALTAS
15587,136562,57597051,4ab16fc330c852a118814a017a1b16ab,1.0,3.1,f,1.0,123.0,REPROVADO POR MÉDIA E POR FALTAS
15588,136563,57597051,01a7847331a518447aeaddb044fb7a9b,3.0,4.9,f,6.2,0.0,APROVADO POR NOTA
15589,136564,57597051,01a7847331a518447aeaddb044fb7a9b,2.0,6.3,f,6.2,0.0,APROVADO POR NOTA
15590,136565,57597051,01a7847331a518447aeaddb044fb7a9b,1.0,7.4,f,6.2,0.0,APROVADO POR NOTA
15591,136566,57597051,fd88b11a8ad4b4c1b4021d8dba0a24d9,3.0,5.1,f,5.1,0.0,APROVADO POR NOTA
15592,136567,57597051,fd88b11a8ad4b4c1b4021d8dba0a24d9,2.0,5.8,f,5.1,0.0,APROVADO POR NOTA
15593,136568,57597051,fd88b11a8ad4b4c1b4021d8dba0a24d9,1.0,4.5,f,5.1,0.0,APROVADO POR NOTA
15594,136569,57597051,965dcfc2da7259d908f4dc6cd633be51,1.0,5.0,f,2.8,24.0,REPROVADO
15595,136570,57597051,965dcfc2da7259d908f4dc6cd633be51,3.0,1.3,f,2.8,24.0,REPROVADO
15596,136571,57597051,965dcfc2da7259d908f4dc6cd633be51,2.0,2.0,f,2.8,24.0,REPROVADO
15597,136572,57597051,81f78aff3299e069903a31cea6cd7abd,1.0,3.7,f,3.4,51.0,REPROVADO
15598,136573,57597051,81f78aff3299e069903a31cea6cd7abd,3.0,3.6,f,3.4,51.0,REPROVADO
15599,136574,57597051,81f78aff3299e069903a31cea6cd7abd,2.0,3.0,f,3.4,51.0,REPROVADO
15600,136575,57597051,2fcb41f862e22f3febc82c2daf1d8d83,3.0,1.1,f,2.2,58.0,REPROVADO POR MÉDIA E POR FALTAS
15601,136576,57597051,2fcb41f862e22f3febc82c2daf1d8d83,2.0,1.8,f,2.2,58.0,REPROVADO POR MÉDIA E POR FALTAS
15602,136577,57597051,2fcb41f862e22f3febc82c2daf1d8d83,1.0,3.6,f,2.2,58.0,REPROVADO POR MÉDIA E POR FALTAS
15603,136578,57597051,454c51639649e226880b674f517041bd,3.0,7.1,f,7.2,38.0,APROVADO
15604,136579,57597051,454c51639649e226880b674f517041bd,2.0,8.2,f,7.2,38.0,APROVADO
15605,136580,57597051,454c51639649e226880b674f517041bd,1.0,6.3,f,7.2,38.0,APROVADO
15606,136581,57597051,60d45842469b44fde293e7690a19505e,2.0,0.0,f,0.7,161.0,REPROVADO POR MÉDIA E POR FALTAS
15607,136582,57597051,60d45842469b44fde293e7690a19505e,1.0,2.0,f,0.7,161.0,REPROVADO POR MÉDIA E POR FALTAS
15608,136583,57597051,60d45842469b44fde293e7690a19505e,3.0,0.0,f,0.7,161.0,REPROVADO POR MÉDIA E POR FALTAS
15609,136584,57597051,18951025c33f4bd2d00044a711f64260,3.0,0.0,f,1.4,52.0,REPROVADO
15610,136585,57597051,18951025c33f4bd2d00044a711f64260,2.0,0.8,f,1.4,52.0,REPROVADO
15611,136586,57597051,18951025c33f4bd2d00044a711f64260,1.0,3.4,f,1.4,52.0,REPROVADO
15612,136587,57597051,0ae67acbe3f38b03a1c51fb6188776dd,3.0,5.8,f,5.4,4.0,APROVADO POR NOTA
15613,136588,57597051,0ae67acbe3f38b03a1c51fb6188776dd,2.0,6.0,f,5.4,4.0,APROVADO POR NOTA
15614,136589,57597051,0ae67acbe3f38b03a1c51fb6188776dd,1.0,4.5,f,5.4,4.0,APROVADO POR NOTA
15615,136590,57597051,71b1ba5b9ee3e9796d226d97a640ac15,3.0,4.8,f,5.0,27.0,APROVADO POR NOTA
15616,136591,57597051,71b1ba5b9ee3e9796d226d97a640ac15,2.0,4.6,f,5.0,27.0,APROVADO POR NOTA
15617,136592,57597051,71b1ba5b9ee3e9796d226d97a640ac15,1.0,5.7,f,5.0,27.0,APROVADO POR NOTA
15618,136593,57597051,12825e7fd4b6ec3233c2c60a5b020fee,1.0,1.4,f,0.5,138.0,REPROVADO POR MÉDIA E POR FALTAS
15619,136594,57597051,12825e7fd4b6ec3233c2c60a5b020fee,3.0,0.0,f,0.5,138.0,REPROVADO POR MÉDIA E POR FALTAS
15620,136595,57597051,12825e7fd4b6ec3233c2c60a5b020fee,2.0,0.0,f,0.5,138.0,REPROVADO POR MÉDIA E POR FALTAS
15621,136596,57597051,1d98f53e1671d1526bb546d38fec1284,1.0,0.0,f,0.0,161.0,REPROVADO POR MÉDIA E POR FALTAS
15622,136597,57597051,1d98f53e1671d1526bb546d38fec1284,2.0,0.0,f,0.0,161.0,REPROVADO POR MÉDIA E POR FALTAS
15623,136598,57597051,1d98f53e1671d1526bb546d38fec1284,3.0,0.0,f,0.0,161.0,REPROVADO POR MÉDIA E POR FALTAS
15624,136599,57597051,29b127de310becf8e315c792d7a56bcd,2.0,6.2,f,5.6,32.0,APROVADO POR NOTA
15625,136600,57597051,29b127de310becf8e315c792d7a56bcd,3.0,5.3,f,5.6,32.0,APROVADO POR NOTA
15626,136601,57597051,29b127de310becf8e315c792d7a56bcd,1.0,5.4,f,5.6,32.0,APROVADO POR NOTA
15627,136602,57597051,e5976989d02dd01d7be21af6dcab12dc,3.0,3.4,f,3.8,44.0,REPROVADO
15628,136603,57597051,e5976989d02dd01d7be21af6dcab12dc,2.0,2.8,t,3.8,44.0,REPROVADO
15629,136604,57597051,e5976989d02dd01d7be21af6dcab12dc,1.0,3.6,f,3.8,44.0,REPROVADO
15630,136605,57597051,f3e277887cd1e614b4425337b3a096ca,2.0,3.6,f,5.0,25.0,APROVADO POR NOTA
15631,136606,57597051,f3e277887cd1e614b4425337b3a096ca,1.0,5.2,f,5.0,25.0,APROVADO POR NOTA
15632,136607,57597051,f3e277887cd1e614b4425337b3a096ca,3.0,6.3,f,5.0,25.0,APROVADO POR NOTA
15633,136608,57597051,7d155d6007d61a73d4f27b6f1e61b5cd,2.0,9.5,f,8.2,8.0,APROVADO
15634,136609,57597051,7d155d6007d61a73d4f27b6f1e61b5cd,1.0,8.8,f,8.2,8.0,APROVADO
15635,136610,57597051,7d155d6007d61a73d4f27b6f1e61b5cd,3.0,6.4,f,8.2,8.0,APROVADO
15636,136611,57597051,ba5d2fb47a9aae22f2b31d22d1ed9464,2.0,6.6,f,5.4,36.0,APROVADO POR NOTA
15637,136612,57597051,ba5d2fb47a9aae22f2b31d22d1ed9464,1.0,4.4,f,5.4,36.0,APROVADO POR NOTA
15638,136613,57597051,ba5d2fb47a9aae22f2b31d22d1ed9464,3.0,5.1,f,5.4,36.0,APROVADO POR NOTA
15639,136614,57597051,6de8a838aa97afbc920c26f719aeab50,2.0,0.0,f,0.8,115.0,REPROVADO POR MÉDIA E POR FALTAS
15640,136615,57597051,6de8a838aa97afbc920c26f719aeab50,1.0,2.3,f,0.8,115.0,REPROVADO POR MÉDIA E POR FALTAS
15641,136616,57597051,6de8a838aa97afbc920c26f719aeab50,3.0,0.0,f,0.8,115.0,REPROVADO POR MÉDIA E POR FALTAS
15642,136617,57597051,6515bc11da740d64680ef5f36d016237,2.0,2.3,f,3.5,48.0,REPROVADO
15643,136618,57597051,6515bc11da740d64680ef5f36d016237,1.0,5.2,f,3.5,48.0,REPROVADO
15644,136619,57597051,6515bc11da740d64680ef5f36d016237,3.0,3.0,f,3.5,48.0,REPROVADO
15645,136620,57597051,d638dffa503c3470874f0e5d8a8c502b,1.0,6.1,f,3.4,37.0,REPROVADO
15646,136621,57597051,d638dffa503c3470874f0e5d8a8c502b,3.0,1.8,f,3.4,37.0,REPROVADO
15647,136622,57597051,d638dffa503c3470874f0e5d8a8c502b,2.0,2.2,f,3.4,37.0,REPROVADO
15648,136623,57597051,08128d8405dec3563f96d12ca58af77e,3.0,6.7,f,5.5,12.0,APROVADO POR NOTA
15649,136624,57597051,08128d8405dec3563f96d12ca58af77e,2.0,4.8,f,5.5,12.0,APROVADO POR NOTA
15650,136625,57597051,08128d8405dec3563f96d12ca58af77e,1.0,5.1,f,5.5,12.0,APROVADO POR NOTA
15670,136645,57597051,585a86076d71152014a6dd7fee234bd0,3.0,2.5,t,5.0,10.0,APROVADO POR NOTA
15671,136646,57597051,585a86076d71152014a6dd7fee234bd0,2.0,5.0,f,5.0,10.0,APROVADO POR NOTA
15672,136647,57597051,585a86076d71152014a6dd7fee234bd0,1.0,5.5,f,5.0,10.0,APROVADO POR NOTA
15673,136648,57597051,4aa63133c963bd0936a731846d0be1b6,3.0,7.3,f,7.3,8.0,APROVADO
15674,136649,57597051,4aa63133c963bd0936a731846d0be1b6,2.0,9.3,f,7.3,8.0,APROVADO
15675,136650,57597051,4aa63133c963bd0936a731846d0be1b6,1.0,5.3,f,7.3,8.0,APROVADO
15676,136651,57597051,e68aa00afbec6ea1d2511386edeaf5d0,1.0,4.7,f,5.0,51.0,APROVADO POR NOTA
15677,136652,57597051,e68aa00afbec6ea1d2511386edeaf5d0,2.0,5.8,f,5.0,51.0,APROVADO POR NOTA
15678,136653,57597051,e68aa00afbec6ea1d2511386edeaf5d0,3.0,4.4,f,5.0,51.0,APROVADO POR NOTA
15689,136664,57597051,ca091f92ef898601c135aebeb42ab6aa,3.0,6.3,f,6.2,4.0,APROVADO POR NOTA
15690,136665,57597051,ca091f92ef898601c135aebeb42ab6aa,2.0,6.8,f,6.2,4.0,APROVADO POR NOTA
15691,136666,57597051,ca091f92ef898601c135aebeb42ab6aa,1.0,5.5,f,6.2,4.0,APROVADO POR NOTA
15692,136667,57597051,224c0a6a613d388c45235ef7c56afa46,2.0,4.9,f,5.8,20.0,APROVADO POR NOTA
15693,136668,57597051,224c0a6a613d388c45235ef7c56afa46,1.0,6.3,f,5.8,20.0,APROVADO POR NOTA
15694,136669,57597051,224c0a6a613d388c45235ef7c56afa46,3.0,6.1,f,5.8,20.0,APROVADO POR NOTA
15695,136670,57597051,4ab16fc330c852a118814a017a1b16ab,2.0,0.0,f,1.0,123.0,REPROVADO POR MÉDIA E POR FALTAS
15696,136671,57597051,4ab16fc330c852a118814a017a1b16ab,3.0,0.0,f,1.0,123.0,REPROVADO POR MÉDIA E POR FALTAS
15697,136672,57597051,4ab16fc330c852a118814a017a1b16ab,1.0,3.1,f,1.0,123.0,REPROVADO POR MÉDIA E POR FALTAS
15698,136673,57597051,01a7847331a518447aeaddb044fb7a9b,3.0,4.9,f,6.2,0.0,APROVADO POR NOTA
15699,136674,57597051,01a7847331a518447aeaddb044fb7a9b,2.0,6.3,f,6.2,0.0,APROVADO POR NOTA
15700,136675,57597051,01a7847331a518447aeaddb044fb7a9b,1.0,7.4,f,6.2,0.0,APROVADO POR NOTA
15701,136676,57597051,fd88b11a8ad4b4c1b4021d8dba0a24d9,3.0,5.1,f,5.1,0.0,APROVADO POR NOTA
15702,136677,57597051,fd88b11a8ad4b4c1b4021d8dba0a24d9,2.0,5.8,f,5.1,0.0,APROVADO POR NOTA
15703,136678,57597051,fd88b11a8ad4b4c1b4021d8dba0a24d9,1.0,4.5,f,5.1,0.0,APROVADO POR NOTA
15704,136679,57597051,965dcfc2da7259d908f4dc6cd633be51,1.0,5.0,f,2.8,24.0,REPROVADO
15705,136680,57597051,965dcfc2da7259d908f4dc6cd633be51,3.0,1.3,f,2.8,24.0,REPROVADO
15706,136681,57597051,965dcfc2da7259d908f4dc6cd633be51,2.0,2.0,f,2.8,24.0,REPROVADO
15707,136682,57597051,81f78aff3299e069903a31cea6cd7abd,1.0,3.7,f,3.4,51.0,REPROVADO
15708,136683,57597051,81f78aff3299e069903a31cea6cd7abd,3.0,3.6,f,3.4,51.0,REPROVADO
15709,136684,57597051,81f78aff3299e069903a31cea6cd7abd,2.0,3.0,f,3.4,51.0,REPROVADO
15710,136685,57597051,2fcb41f862e22f3febc82c2daf1d8d83,3.0,1.1,f,2.2,58.0,REPROVADO POR MÉDIA E POR FALTAS
15711,136686,57597051,2fcb41f862e22f3febc82c2daf1d8d83,2.0,1.8,f,2.2,58.0,REPROVADO POR MÉDIA E POR FALTAS
15712,136687,57597051,2fcb41f862e22f3febc82c2daf1d8d83,1.0,3.6,f,2.2,58.0,REPROVADO POR MÉDIA E POR FALTAS
15713,136688,57597051,454c51639649e226880b674f517041bd,3.0,7.1,f,7.2,38.0,APROVADO
15714,136689,57597051,454c51639649e226880b674f517041bd,2.0,8.2,f,7.2,38.0,APROVADO
15715,136690,57597051,454c51639649e226880b674f517041bd,1.0,6.3,f,7.2,38.0,APROVADO
15716,136691,57597051,60d45842469b44fde293e7690a19505e,2.0,0.0,f,0.7,161.0,REPROVADO POR MÉDIA E POR FALTAS
15717,136692,57597051,60d45842469b44fde293e7690a19505e,1.0,2.0,f,0.7,161.0,REPROVADO POR MÉDIA E POR FALTAS
15718,136693,57597051,60d45842469b44fde293e7690a19505e,3.0,0.0,f,0.7,161.0,REPROVADO POR MÉDIA E POR FALTAS
15719,136694,57597051,18951025c33f4bd2d00044a711f64260,3.0,0.0,f,1.4,52.0,REPROVADO
15720,136695,57597051,18951025c33f4bd2d00044a711f64260,2.0,0.8,f,1.4,52.0,REPROVADO
15721,136696,57597051,18951025c33f4bd2d00044a711f64260,1.0,3.4,f,1.4,52.0,REPROVADO
15722,136697,57597051,0ae67acbe3f38b03a1c51fb6188776dd,3.0,5.8,f,5.4,4.0,APROVADO POR NOTA
15723,136698,57597051,0ae67acbe3f38b03a1c51fb6188776dd,2.0,6.0,f,5.4,4.0,APROVADO POR NOTA
15724,136699,57597051,0ae67acbe3f38b03a1c51fb6188776dd,1.0,4.5,f,5.4,4.0,APROVADO POR NOTA
15725,136700,57597051,71b1ba5b9ee3e9796d226d97a640ac15,3.0,4.8,f,5.0,27.0,APROVADO POR NOTA
15726,136701,57597051,71b1ba5b9ee3e9796d226d97a640ac15,2.0,4.6,f,5.0,27.0,APROVADO POR NOTA
15727,136702,57597051,71b1ba5b9ee3e9796d226d97a640ac15,1.0,5.7,f,5.0,27.0,APROVADO POR NOTA
15728,136703,57597051,12825e7fd4b6ec3233c2c60a5b020fee,1.0,1.4,f,0.5,138.0,REPROVADO POR MÉDIA E POR FALTAS
15729,136704,57597051,12825e7fd4b6ec3233c2c60a5b020fee,3.0,0.0,f,0.5,138.0,REPROVADO POR MÉDIA E POR FALTAS
15730,136705,57597051,12825e7fd4b6ec3233c2c60a5b020fee,2.0,0.0,f,0.5,138.0,REPROVADO POR MÉDIA E POR FALTAS
15731,136706,57597051,1d98f53e1671d1526bb546d38fec1284,1.0,0.0,f,0.0,161.0,REPROVADO POR MÉDIA E POR FALTAS
15732,136707,57597051,1d98f53e1671d1526bb546d38fec1284,2.0,0.0,f,0.0,161.0,REPROVADO POR MÉDIA E POR FALTAS
15733,136708,57597051,1d98f53e1671d1526bb546d38fec1284,3.0,0.0,f,0.0,161.0,REPROVADO POR MÉDIA E POR FALTAS
15734,136709,57597051,29b127de310becf8e315c792d7a56bcd,2.0,6.2,f,5.6,32.0,APROVADO POR NOTA
15735,136710,57597051,29b127de310becf8e315c792d7a56bcd,3.0,5.3,f,5.6,32.0,APROVADO POR NOTA
15736,136711,57597051,29b127de310becf8e315c792d7a56bcd,1.0,5.4,f,5.6,32.0,APROVADO POR NOTA
