,Unnamed: 0,id_turma,discente,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
6249,571423,1239527,a6828dd2dd4b8ff21c763f6d1f6f5e04,1.0,7.900000099999999,f,5.1,18.0,APROVADO POR NOTA
6250,571424,1239527,a6828dd2dd4b8ff21c763f6d1f6f5e04,2.0,4.5,f,5.1,18.0,APROVADO POR NOTA
6251,571425,1239527,a6828dd2dd4b8ff21c763f6d1f6f5e04,3.0,3.0,f,5.1,18.0,APROVADO POR NOTA
6254,382588,1239528,761f231943a37ff29272bc3b4020fe0d,1.0,7.19999981,f,5.0,20.0,APROVADO POR NOTA
6255,382589,1239528,761f231943a37ff29272bc3b4020fe0d,2.0,1.60000002,t,5.0,20.0,APROVADO POR NOTA
6256,382590,1239528,761f231943a37ff29272bc3b4020fe0d,3.0,3.9000001,f,5.0,20.0,APROVADO POR NOTA
6257,382591,1239528,dcb8f294bee8769bdfec88486911362f,1.0,1.5,f,0.5,78.0,REPROVADO POR MÉDIA E POR FALTAS
6258,382592,1239528,dcb8f294bee8769bdfec88486911362f,2.0,0.0,f,0.5,78.0,REPROVADO POR MÉDIA E POR FALTAS
6259,382593,1239528,dcb8f294bee8769bdfec88486911362f,3.0,0.0,f,0.5,78.0,REPROVADO POR MÉDIA E POR FALTAS
6260,382594,1239528,02624974f8aa2d53b945ceb2b4eec0dd,1.0,2.0999999,t,4.3,8.0,REPROVADO
6261,382595,1239528,02624974f8aa2d53b945ceb2b4eec0dd,2.0,4.0,f,4.3,8.0,REPROVADO
6262,382596,1239528,02624974f8aa2d53b945ceb2b4eec0dd,3.0,4.5,f,4.3,8.0,REPROVADO
6264,382598,1239528,145440d461db004f5513e19a5ce783cd,1.0,0.0,f,0.0,98.0,REPROVADO POR MÉDIA E POR FALTAS
6265,382599,1239528,145440d461db004f5513e19a5ce783cd,2.0,0.0,f,0.0,98.0,REPROVADO POR MÉDIA E POR FALTAS
6266,382600,1239528,145440d461db004f5513e19a5ce783cd,3.0,0.0,f,0.0,98.0,REPROVADO POR MÉDIA E POR FALTAS
6267,382601,1239528,3b09923f48cffaf2f0774592678ffb73,1.0,4.19999981,f,1.4,88.0,REPROVADO POR MÉDIA E POR FALTAS
6268,382602,1239528,3b09923f48cffaf2f0774592678ffb73,2.0,0.0,f,1.4,88.0,REPROVADO POR MÉDIA E POR FALTAS
6269,382603,1239528,3b09923f48cffaf2f0774592678ffb73,3.0,0.0,f,1.4,88.0,REPROVADO POR MÉDIA E POR FALTAS
6277,382611,1239528,aa31923cc22f851ad1df4c88ca7dd4a4,1.0,3.0999999,f,2.3,24.0,REPROVADO
6278,382612,1239528,aa31923cc22f851ad1df4c88ca7dd4a4,2.0,1.5,f,2.3,24.0,REPROVADO
6279,382613,1239528,aa31923cc22f851ad1df4c88ca7dd4a4,3.0,2.20000005,f,2.3,24.0,REPROVADO
6293,382627,1239528,a8293007099ed594f8198548de44d95d,1.0,3.0,f,5.1,22.0,APROVADO POR NOTA
6294,382628,1239528,a8293007099ed594f8198548de44d95d,2.0,6.4000001,f,5.1,22.0,APROVADO POR NOTA
6295,382629,1239528,a8293007099ed594f8198548de44d95d,3.0,6.0,f,5.1,22.0,APROVADO POR NOTA
6301,818078,1239528,46fcfa469134e1d7294e54ec241ce9b2,1.0,7.599999900000001,f,5.7,26.0,APROVADO POR NOTA
6302,818079,1239528,46fcfa469134e1d7294e54ec241ce9b2,2.0,6.19999981,f,5.7,26.0,APROVADO POR NOTA
6303,818080,1239528,46fcfa469134e1d7294e54ec241ce9b2,3.0,1.5,t,5.7,26.0,APROVADO POR NOTA
6305,818082,1239528,64b696da3707557afa8dfcef34977c6f,1.0,0.0,f,0.0,100.0,REPROVADO POR MÉDIA E POR FALTAS
6306,818083,1239528,64b696da3707557afa8dfcef34977c6f,2.0,0.0,f,0.0,100.0,REPROVADO POR MÉDIA E POR FALTAS
6307,818084,1239528,64b696da3707557afa8dfcef34977c6f,3.0,0.0,f,0.0,100.0,REPROVADO POR MÉDIA E POR FALTAS
6308,818085,1239528,2904ab1e196939fbd343a0f0016856c2,1.0,2.79999995,f,0.9,72.0,REPROVADO POR MÉDIA E POR FALTAS
6309,818086,1239528,2904ab1e196939fbd343a0f0016856c2,2.0,0.0,f,0.9,72.0,REPROVADO POR MÉDIA E POR FALTAS
6310,818087,1239528,2904ab1e196939fbd343a0f0016856c2,3.0,0.0,f,0.9,72.0,REPROVADO POR MÉDIA E POR FALTAS
6324,818101,1239528,a49b60d45d706c0e7a01c85e0fe3854e,1.0,2.0,f,3.3,24.0,REPROVADO
6325,818102,1239528,a49b60d45d706c0e7a01c85e0fe3854e,2.0,6.4000001,f,3.3,24.0,REPROVADO
6326,818103,1239528,a49b60d45d706c0e7a01c85e0fe3854e,3.0,1.60000002,f,3.3,24.0,REPROVADO
6333,818110,1239528,4864359154607735f2e5f11acc205c4f,1.0,0.5,f,0.2,62.0,REPROVADO POR MÉDIA E POR FALTAS
6334,818111,1239528,4864359154607735f2e5f11acc205c4f,2.0,0.0,f,0.2,62.0,REPROVADO POR MÉDIA E POR FALTAS
6335,818112,1239528,4864359154607735f2e5f11acc205c4f,3.0,0.0,f,0.2,62.0,REPROVADO POR MÉDIA E POR FALTAS
6344,818121,1239528,e1b01dddfefb34bbf9739d100d7f62bf,1.0,2.4000001,f,0.8,90.0,REPROVADO POR MÉDIA E POR FALTAS
6345,818122,1239528,e1b01dddfefb34bbf9739d100d7f62bf,2.0,0.0,f,0.8,90.0,REPROVADO POR MÉDIA E POR FALTAS
6346,818123,1239528,e1b01dddfefb34bbf9739d100d7f62bf,3.0,0.0,f,0.8,90.0,REPROVADO POR MÉDIA E POR FALTAS
6348,818125,1239528,184dc7f5abb4797ae17d8f43d2108b34,1.0,2.79999995,f,2.5,36.0,REPROVADO POR MÉDIA E POR FALTAS
6349,818126,1239528,184dc7f5abb4797ae17d8f43d2108b34,2.0,2.70000005,f,2.5,36.0,REPROVADO POR MÉDIA E POR FALTAS
6350,818127,1239528,184dc7f5abb4797ae17d8f43d2108b34,3.0,2.0,f,2.5,36.0,REPROVADO POR MÉDIA E POR FALTAS
6351,394757,1239529,e023a67a7bf65d86e71bb690e4cb2ba1,1.0,6.80000019,f,5.5,0.0,APROVADO POR NOTA
6352,394758,1239529,e023a67a7bf65d86e71bb690e4cb2ba1,2.0,6.19999981,f,5.5,0.0,APROVADO POR NOTA
6353,394759,1239529,e023a67a7bf65d86e71bb690e4cb2ba1,3.0,2.0,t,5.5,0.0,APROVADO POR NOTA
6354,394760,1239529,777afa50a3eae76c110581407b1e3129,1.0,8.0,f,6.5,0.0,APROVADO POR NOTA
6355,394761,1239529,777afa50a3eae76c110581407b1e3129,2.0,7.400000099999999,f,6.5,0.0,APROVADO POR NOTA
6356,394762,1239529,777afa50a3eae76c110581407b1e3129,3.0,4.0,f,6.5,0.0,APROVADO POR NOTA
6361,394767,1239529,8ac0038ac22bc02fbbd50f5716e63380,1.0,0.5,f,0.2,0.0,REPROVADO
6362,394768,1239529,8ac0038ac22bc02fbbd50f5716e63380,2.0,0.200000003,f,0.2,0.0,REPROVADO
6363,394769,1239529,8ac0038ac22bc02fbbd50f5716e63380,3.0,0.0,f,0.2,0.0,REPROVADO
6366,394772,1239529,9d8dcee687180154493648b599a313c3,2.0,10.0,f,8.4,0.0,APROVADO
6367,394773,1239529,9d8dcee687180154493648b599a313c3,3.0,6.80000019,f,8.4,0.0,APROVADO
6368,394774,1239529,9d8dcee687180154493648b599a313c3,1.0,8.39999962,f,8.4,0.0,APROVADO
6375,394781,1239529,5459222f27bfb7d3a932250691804544,1.0,3.20000005,f,4.4,0.0,REPROVADO
6376,394782,1239529,5459222f27bfb7d3a932250691804544,2.0,6.0999999,f,4.4,0.0,REPROVADO
6377,394783,1239529,5459222f27bfb7d3a932250691804544,3.0,1.20000005,t,4.4,0.0,REPROVADO
6381,394787,1239529,72489a3d7b821870feaba15d0791d180,1.0,4.19999981,f,2.5,0.0,REPROVADO
6382,394788,1239529,72489a3d7b821870feaba15d0791d180,2.0,3.20000005,f,2.5,0.0,REPROVADO
6383,394789,1239529,72489a3d7b821870feaba15d0791d180,3.0,0.0,f,2.5,0.0,REPROVADO
6386,394792,1239529,4120da6763c98152ecabdc8a07f4903d,1.0,4.30000019,f,5.6,0.0,APROVADO POR NOTA
6387,394793,1239529,4120da6763c98152ecabdc8a07f4903d,2.0,6.599999900000001,f,5.6,0.0,APROVADO POR NOTA
6388,394794,1239529,4120da6763c98152ecabdc8a07f4903d,3.0,6.0,f,5.6,0.0,APROVADO POR NOTA
6392,394798,1239529,8336cceaf3e6275f4bd0611280702f1e,1.0,8.80000019,f,6.7,0.0,APROVADO POR NOTA
6393,394799,1239529,8336cceaf3e6275f4bd0611280702f1e,2.0,6.69999981,f,6.7,0.0,APROVADO POR NOTA
6394,394800,1239529,8336cceaf3e6275f4bd0611280702f1e,3.0,4.69999981,f,6.7,0.0,APROVADO POR NOTA
6395,394801,1239529,0d904f950f714e9773f4671920a3eca9,1.0,6.69999981,f,8.9,0.0,APROVADO
6396,394802,1239529,0d904f950f714e9773f4671920a3eca9,2.0,10.0,f,8.9,0.0,APROVADO
6397,394803,1239529,0d904f950f714e9773f4671920a3eca9,3.0,10.0,f,8.9,0.0,APROVADO
6406,394812,1239529,60609db24f3edaed3cdfe82fdb7fc4d2,1.0,0.0,f,0.0,0.0,REPROVADO
6407,394813,1239529,60609db24f3edaed3cdfe82fdb7fc4d2,2.0,0.0,f,0.0,0.0,REPROVADO
6408,394814,1239529,60609db24f3edaed3cdfe82fdb7fc4d2,3.0,0.0,f,0.0,0.0,REPROVADO
6412,394818,1239529,3bb00a5655ef8884b4af55d4a2a65af6,1.0,8.19999981,f,6.1,0.0,APROVADO POR NOTA
6413,394819,1239529,3bb00a5655ef8884b4af55d4a2a65af6,2.0,7.0,f,6.1,0.0,APROVADO POR NOTA
6414,394820,1239529,3bb00a5655ef8884b4af55d4a2a65af6,3.0,1.60000002,t,6.1,0.0,APROVADO POR NOTA
6424,394830,1239529,30eb195206161d947cb1edf80add3783,1.0,8.39999962,f,4.5,0.0,REPROVADO
6425,394831,1239529,30eb195206161d947cb1edf80add3783,2.0,2.29999995,f,4.5,0.0,REPROVADO
6426,394832,1239529,30eb195206161d947cb1edf80add3783,3.0,0.0,t,4.5,0.0,REPROVADO
6440,394846,1239529,31e1be3720544f57f5061f094d215cee,1.0,6.0,f,2.0,0.0,REPROVADO
6441,394847,1239529,31e1be3720544f57f5061f094d215cee,2.0,0.0,f,2.0,0.0,REPROVADO
6442,394848,1239529,31e1be3720544f57f5061f094d215cee,3.0,0.0,f,2.0,0.0,REPROVADO
6443,394849,1239529,b5bb50470f3c6a62b075cf02a5e47ecb,3.0,0.0,f,3.5,0.0,REPROVADO
6444,394850,1239529,b5bb50470f3c6a62b075cf02a5e47ecb,1.0,8.10000038,f,3.5,0.0,REPROVADO
6445,394851,1239529,b5bb50470f3c6a62b075cf02a5e47ecb,2.0,2.4000001,f,3.5,0.0,REPROVADO
6452,394858,1239529,c938ce1450afa6b33916d0fcf5dcc617,1.0,7.5,f,4.3,0.0,REPROVADO
6453,394859,1239529,c938ce1450afa6b33916d0fcf5dcc617,2.0,0.600000024,t,4.3,0.0,REPROVADO
6454,394860,1239529,c938ce1450afa6b33916d0fcf5dcc617,3.0,4.19999981,f,4.3,0.0,REPROVADO
6459,394865,1239529,d5b919228d0207c864cfe4af843adf59,1.0,0.0,f,0.0,0.0,REPROVADO
6460,394866,1239529,d5b919228d0207c864cfe4af843adf59,2.0,0.0,f,0.0,0.0,REPROVADO
6461,394867,1239529,d5b919228d0207c864cfe4af843adf59,3.0,0.0,f,0.0,0.0,REPROVADO
6462,394868,1239529,69ad026fcf027c449e2f6b8f57865316,1.0,4.0,f,2.6,0.0,REPROVADO
6463,394869,1239529,69ad026fcf027c449e2f6b8f57865316,2.0,3.70000005,f,2.6,0.0,REPROVADO
6464,394870,1239529,69ad026fcf027c449e2f6b8f57865316,3.0,0.0,f,2.6,0.0,REPROVADO
6466,394872,1239529,1694f14fe9e2d76e1834b903333bc794,1.0,5.0999999,f,3.6,0.0,REPROVADO
6467,394873,1239529,1694f14fe9e2d76e1834b903333bc794,2.0,2.5,f,3.6,0.0,REPROVADO
6468,394874,1239529,1694f14fe9e2d76e1834b903333bc794,3.0,3.20000005,f,3.6,0.0,REPROVADO
6472,394878,1239529,cb8985e7e20a68f82f3229c857a2221c,3.0,0.0,f,0.2,0.0,REPROVADO
6473,394879,1239529,cb8985e7e20a68f82f3229c857a2221c,1.0,0.5,f,0.2,0.0,REPROVADO
6474,394880,1239529,cb8985e7e20a68f82f3229c857a2221c,2.0,0.0,f,0.2,0.0,REPROVADO
6475,394881,1239529,ad1723416caab97b96c630e262481742,1.0,4.69999981,f,1.6,0.0,REPROVADO
6476,394882,1239529,ad1723416caab97b96c630e262481742,2.0,0.0,f,1.6,0.0,REPROVADO
6477,394883,1239529,ad1723416caab97b96c630e262481742,3.0,0.0,f,1.6,0.0,REPROVADO
6481,394887,1239529,ed6dd81dc57277659b753343bbeddbd1,1.0,6.900000099999999,f,5.4,0.0,APROVADO POR NOTA
6482,394888,1239529,ed6dd81dc57277659b753343bbeddbd1,2.0,2.4000001,t,5.4,0.0,APROVADO POR NOTA
6483,394889,1239529,ed6dd81dc57277659b753343bbeddbd1,3.0,5.5999999,f,5.4,0.0,APROVADO POR NOTA
6490,394896,1239529,dc0b37a9d90ff2d54cb650d366bb9d1e,1.0,2.20000005,f,2.1,0.0,REPROVADO
6491,394897,1239529,dc0b37a9d90ff2d54cb650d366bb9d1e,2.0,0.5,f,2.1,0.0,REPROVADO
6492,394898,1239529,dc0b37a9d90ff2d54cb650d366bb9d1e,3.0,3.5,f,2.1,0.0,REPROVADO
6494,394900,1239529,8df9f97cf93ecde3864b9faab51527f2,1.0,6.599999900000001,f,7.0,0.0,APROVADO
6495,394901,1239529,8df9f97cf93ecde3864b9faab51527f2,2.0,6.4000001,f,7.0,0.0,APROVADO
6496,394902,1239529,8df9f97cf93ecde3864b9faab51527f2,3.0,8.0,f,7.0,0.0,APROVADO
6497,830451,1239529,fae8cbf7721681e3d274a69e4e1bdcfe,1.0,4.30000019,f,5.4,0.0,APROVADO POR NOTA
6498,830452,1239529,fae8cbf7721681e3d274a69e4e1bdcfe,2.0,5.30000019,f,5.4,0.0,APROVADO POR NOTA
6499,830453,1239529,fae8cbf7721681e3d274a69e4e1bdcfe,3.0,6.69999981,f,5.4,0.0,APROVADO POR NOTA
6501,830455,1239529,8cf52a04b4b12e332f8a54264a52ba53,1.0,6.0999999,f,2.0,0.0,REPROVADO
6502,830456,1239529,8cf52a04b4b12e332f8a54264a52ba53,2.0,0.0,f,2.0,0.0,REPROVADO
6503,830457,1239529,8cf52a04b4b12e332f8a54264a52ba53,3.0,0.0,f,2.0,0.0,REPROVADO
6504,830458,1239529,c7f78ef4d6e39ad93441209267801600,1.0,9.80000019,f,9.1,0.0,APROVADO
6505,830459,1239529,c7f78ef4d6e39ad93441209267801600,2.0,10.0,f,9.1,0.0,APROVADO
6506,830460,1239529,c7f78ef4d6e39ad93441209267801600,3.0,7.400000099999999,f,9.1,0.0,APROVADO
6510,830464,1239529,7fe258d773987637116d18bf9ee966d6,1.0,7.5,f,6.8,0.0,APROVADO POR NOTA
6511,830465,1239529,7fe258d773987637116d18bf9ee966d6,2.0,10.0,f,6.8,0.0,APROVADO POR NOTA
6512,830466,1239529,7fe258d773987637116d18bf9ee966d6,3.0,3.0,f,6.8,0.0,APROVADO POR NOTA
6515,830469,1239529,e71f0af009489a309cc39942acac97c0,1.0,6.0,f,3.8,0.0,REPROVADO
6516,830470,1239529,e71f0af009489a309cc39942acac97c0,2.0,4.80000019,f,3.8,0.0,REPROVADO
6517,830471,1239529,e71f0af009489a309cc39942acac97c0,3.0,0.5,t,3.8,0.0,REPROVADO
6519,830473,1239529,a116b57e0577eceea56d80579d6976fb,3.0,6.5,f,5.3,0.0,APROVADO POR NOTA
6520,830474,1239529,a116b57e0577eceea56d80579d6976fb,1.0,5.19999981,f,5.3,0.0,APROVADO POR NOTA
6521,830475,1239529,a116b57e0577eceea56d80579d6976fb,2.0,4.30000019,f,5.3,0.0,APROVADO POR NOTA
6523,830477,1239529,7e0c9d37a5d96aaf03233f4f8cb31608,1.0,5.30000019,f,5.2,0.0,APROVADO POR NOTA
6524,830478,1239529,7e0c9d37a5d96aaf03233f4f8cb31608,2.0,7.19999981,f,5.2,0.0,APROVADO POR NOTA
6525,830479,1239529,7e0c9d37a5d96aaf03233f4f8cb31608,3.0,3.0,f,5.2,0.0,APROVADO POR NOTA
6528,830482,1239529,ab210b21c78d42a9c96137a2c9e9b343,1.0,0.0,f,0.0,0.0,REPROVADO
6529,830483,1239529,ab210b21c78d42a9c96137a2c9e9b343,2.0,0.0,f,0.0,0.0,REPROVADO
6530,830484,1239529,ab210b21c78d42a9c96137a2c9e9b343,3.0,0.0,f,0.0,0.0,REPROVADO
6531,830485,1239529,98dce2e1b2e4e013058b68ec163eb46f,1.0,5.30000019,f,5.3,0.0,APROVADO POR NOTA
6532,830486,1239529,98dce2e1b2e4e013058b68ec163eb46f,2.0,6.5,f,5.3,0.0,APROVADO POR NOTA
6533,830487,1239529,98dce2e1b2e4e013058b68ec163eb46f,3.0,2.20000005,t,5.3,0.0,APROVADO POR NOTA
6537,830491,1239529,7c139dcc64de273719e442da230891cd,1.0,4.30000019,f,5.0,0.0,APROVADO POR NOTA
6538,830492,1239529,7c139dcc64de273719e442da230891cd,2.0,5.80000019,f,5.0,0.0,APROVADO POR NOTA
6539,830493,1239529,7c139dcc64de273719e442da230891cd,3.0,2.4000001,t,5.0,0.0,APROVADO POR NOTA
6549,830503,1239529,9632d5f4aa708c6f65db3e91b1e66b3a,1.0,3.0,f,2.1,0.0,REPROVADO
6550,830504,1239529,9632d5f4aa708c6f65db3e91b1e66b3a,2.0,3.20000005,f,2.1,0.0,REPROVADO
6551,830505,1239529,9632d5f4aa708c6f65db3e91b1e66b3a,3.0,0.0,f,2.1,0.0,REPROVADO
6552,830506,1239529,c7ca8f11be2854934d2ba04f1724cdbe,1.0,1.5,f,0.5,0.0,REPROVADO
6553,830507,1239529,c7ca8f11be2854934d2ba04f1724cdbe,2.0,0.0,f,0.5,0.0,REPROVADO
6554,830508,1239529,c7ca8f11be2854934d2ba04f1724cdbe,3.0,0.0,f,0.5,0.0,REPROVADO
6556,830510,1239529,aa8b09932cd5f6743fea88ef7c37f93f,2.0,2.5,f,2.0,0.0,REPROVADO
6557,830511,1239529,aa8b09932cd5f6743fea88ef7c37f93f,3.0,0.0,f,2.0,0.0,REPROVADO
6558,830512,1239529,aa8b09932cd5f6743fea88ef7c37f93f,1.0,3.4000001,f,2.0,0.0,REPROVADO
6578,830532,1239529,4b11fb51905da447d0cefc76ce4f5f94,1.0,9.39999962,f,9.0,0.0,APROVADO
6579,830533,1239529,4b11fb51905da447d0cefc76ce4f5f94,2.0,10.0,f,9.0,0.0,APROVADO
6580,830534,1239529,4b11fb51905da447d0cefc76ce4f5f94,3.0,7.5,f,9.0,0.0,APROVADO
6581,830535,1239529,b419813a078aae20633c5585127ede87,3.0,6.80000019,f,8.3,0.0,APROVADO
6582,830536,1239529,b419813a078aae20633c5585127ede87,2.0,8.5,f,8.3,0.0,APROVADO
6583,830537,1239529,b419813a078aae20633c5585127ede87,1.0,9.69999981,f,8.3,0.0,APROVADO
6585,830539,1239529,28685e2715ef5bd4ccd928220187c670,1.0,5.0999999,f,4.3,0.0,REPROVADO
6586,830540,1239529,28685e2715ef5bd4ccd928220187c670,2.0,5.30000019,f,4.3,0.0,REPROVADO
6587,830541,1239529,28685e2715ef5bd4ccd928220187c670,3.0,2.5999999,f,4.3,0.0,REPROVADO
6596,96172,1239530,61b49c330f8ac0a64a6903ca154740f7,1.0,9.0,f,8.2,0.0,APROVADO
6597,96173,1239530,61b49c330f8ac0a64a6903ca154740f7,2.0,7.599999900000001,f,8.2,0.0,APROVADO
6598,96174,1239530,61b49c330f8ac0a64a6903ca154740f7,3.0,8.0,f,8.2,0.0,APROVADO
6599,96175,1239530,01a7b34e2eb7d66f7490599d3790e709,3.0,0.0,f,0.5,0.0,REPROVADO
6600,96176,1239530,01a7b34e2eb7d66f7490599d3790e709,1.0,1.5,f,0.5,0.0,REPROVADO
6601,96177,1239530,01a7b34e2eb7d66f7490599d3790e709,2.0,0.100000001,f,0.5,0.0,REPROVADO
6602,96178,1239530,b48992acc8eac3465362de43c402f802,2.0,5.4000001,f,5.7,0.0,APROVADO POR NOTA
6603,96179,1239530,b48992acc8eac3465362de43c402f802,1.0,7.599999900000001,f,5.7,0.0,APROVADO POR NOTA
6604,96180,1239530,b48992acc8eac3465362de43c402f802,3.0,4.0,f,5.7,0.0,APROVADO POR NOTA
6607,96183,1239530,ec9d559de18eb6d63602095950bf50f6,1.0,6.5,f,3.0,0.0,REPROVADO
6608,96184,1239530,ec9d559de18eb6d63602095950bf50f6,2.0,1.60000002,f,3.0,0.0,REPROVADO
6609,96185,1239530,ec9d559de18eb6d63602095950bf50f6,3.0,1.0,f,3.0,0.0,REPROVADO
6614,96190,1239530,c8e90e0cc4925263eb9216005d5cc5d5,1.0,3.4000001,f,4.0,0.0,REPROVADO
6615,96191,1239530,c8e90e0cc4925263eb9216005d5cc5d5,2.0,5.4000001,f,4.0,0.0,REPROVADO
6616,96192,1239530,c8e90e0cc4925263eb9216005d5cc5d5,3.0,3.20000005,f,4.0,0.0,REPROVADO
6618,534417,1239530,2927ab3c0c4b3cfa65addca3214270b3,2.0,0.0,f,2.4,0.0,REPROVADO
6619,534418,1239530,2927ab3c0c4b3cfa65addca3214270b3,3.0,0.0,f,2.4,0.0,REPROVADO
6620,534419,1239530,2927ab3c0c4b3cfa65addca3214270b3,1.0,7.30000019,f,2.4,0.0,REPROVADO
6629,534428,1239530,aeee701ac738fecb98159eefef6d6638,2.0,3.4000001,f,3.9,0.0,REPROVADO
6630,534429,1239530,aeee701ac738fecb98159eefef6d6638,3.0,2.5999999,f,3.9,0.0,REPROVADO
6631,534430,1239530,aeee701ac738fecb98159eefef6d6638,1.0,5.80000019,f,3.9,0.0,REPROVADO
6634,534433,1239530,8a7b533bdb6d32e09a5a2712312be0ea,1.0,5.19999981,f,5.0,0.0,APROVADO POR NOTA
6635,534434,1239530,8a7b533bdb6d32e09a5a2712312be0ea,2.0,6.0,f,5.0,0.0,APROVADO POR NOTA
6636,534435,1239530,8a7b533bdb6d32e09a5a2712312be0ea,3.0,3.70000005,f,5.0,0.0,APROVADO POR NOTA
6643,406039,1239537,46665a614e41672cc0e7ab15d2acacf1,1.0,8.30000019,f,8.7,2.0,APROVADO
6644,406040,1239537,46665a614e41672cc0e7ab15d2acacf1,2.0,8.5,f,8.7,2.0,APROVADO
6645,406041,1239537,46665a614e41672cc0e7ab15d2acacf1,3.0,9.19999981,f,8.7,2.0,APROVADO
6647,406043,1239537,7f526a2061ee189867da31102097f91e,1.0,4.19999981,f,5.2,4.0,APROVADO POR NOTA
6648,406044,1239537,7f526a2061ee189867da31102097f91e,2.0,5.0,f,5.2,4.0,APROVADO POR NOTA
6649,406045,1239537,7f526a2061ee189867da31102097f91e,3.0,6.30000019,f,5.2,4.0,APROVADO POR NOTA
6651,406047,1239537,f3ac5d986b7350a02d63a22510377d73,1.0,3.0,f,5.9,18.0,APROVADO POR NOTA
6652,406048,1239537,f3ac5d986b7350a02d63a22510377d73,2.0,6.80000019,f,5.9,18.0,APROVADO POR NOTA
6653,406049,1239537,f3ac5d986b7350a02d63a22510377d73,3.0,7.900000099999999,f,5.9,18.0,APROVADO POR NOTA
6657,406053,1239537,2b19bf05f8ce4bc5814bd05d1b4cab36,3.0,4.19999981,f,5.5,8.0,APROVADO POR NOTA
6658,406054,1239537,2b19bf05f8ce4bc5814bd05d1b4cab36,1.0,4.30000019,f,5.5,8.0,APROVADO POR NOTA
6659,406055,1239537,2b19bf05f8ce4bc5814bd05d1b4cab36,2.0,8.10000038,f,5.5,8.0,APROVADO POR NOTA
6661,406057,1239537,cde1db6a62885e1f4def0c4d142f92b6,1.0,2.5,f,2.1,4.0,REPROVADO
6662,406058,1239537,cde1db6a62885e1f4def0c4d142f92b6,2.0,3.79999995,f,2.1,4.0,REPROVADO
6663,406059,1239537,cde1db6a62885e1f4def0c4d142f92b6,3.0,0.0,f,2.1,4.0,REPROVADO
6664,406060,1239537,dd91e13bd82ebee8ef7105c552ec10e9,2.0,5.0999999,f,5.0,10.0,APROVADO POR NOTA
6665,406061,1239537,dd91e13bd82ebee8ef7105c552ec10e9,3.0,1.79999995,t,5.0,10.0,APROVADO POR NOTA
6666,406062,1239537,dd91e13bd82ebee8ef7105c552ec10e9,1.0,2.0,f,5.0,10.0,APROVADO POR NOTA
6670,406066,1239537,8704f185e8ae317c72ea205b466f1845,1.0,3.29999995,f,4.0,6.0,REPROVADO
6671,406067,1239537,8704f185e8ae317c72ea205b466f1845,2.0,5.5,f,4.0,6.0,REPROVADO
6672,406068,1239537,8704f185e8ae317c72ea205b466f1845,3.0,3.29999995,f,4.0,6.0,REPROVADO
6673,406069,1239537,876c9810d6f4b25797d73c942f55764e,1.0,2.20000005,f,1.7,6.0,REPROVADO
6674,406070,1239537,876c9810d6f4b25797d73c942f55764e,2.0,3.0,f,1.7,6.0,REPROVADO
6675,406071,1239537,876c9810d6f4b25797d73c942f55764e,3.0,0.0,f,1.7,6.0,REPROVADO
6676,406072,1239537,768519e21c9db3641c7c0d26e55d5574,3.0,1.5,t,5.0,6.0,APROVADO POR NOTA
6677,406073,1239537,768519e21c9db3641c7c0d26e55d5574,1.0,1.5,f,5.0,6.0,APROVADO POR NOTA
6678,406074,1239537,768519e21c9db3641c7c0d26e55d5574,2.0,5.9000001,f,5.0,6.0,APROVADO POR NOTA
6682,406078,1239537,b583f1c1e858b97a99e69e861aa23388,1.0,2.5,f,3.3,32.0,REPROVADO POR MÉDIA E POR FALTAS
6683,406079,1239537,b583f1c1e858b97a99e69e861aa23388,2.0,6.0,f,3.3,32.0,REPROVADO POR MÉDIA E POR FALTAS
6684,406080,1239537,b583f1c1e858b97a99e69e861aa23388,3.0,1.5,f,3.3,32.0,REPROVADO POR MÉDIA E POR FALTAS
6686,406082,1239537,7a1b1853a420d06922811b998fb6264f,1.0,4.30000019,f,5.1,4.0,APROVADO POR NOTA
6687,406083,1239537,7a1b1853a420d06922811b998fb6264f,2.0,6.599999900000001,f,5.1,4.0,APROVADO POR NOTA
6688,406084,1239537,7a1b1853a420d06922811b998fb6264f,3.0,4.4000001,f,5.1,4.0,APROVADO POR NOTA
6690,406086,1239537,9fab264022905965335b7bc3964f7ed1,2.0,7.0,f,6.5,2.0,APROVADO POR NOTA
6691,406087,1239537,9fab264022905965335b7bc3964f7ed1,3.0,6.80000019,f,6.5,2.0,APROVADO POR NOTA
6692,406088,1239537,9fab264022905965335b7bc3964f7ed1,1.0,5.69999981,f,6.5,2.0,APROVADO POR NOTA
6694,406090,1239537,e4dcda7fa43cfcaa58044c501b34f030,1.0,5.30000019,f,6.2,10.0,APROVADO POR NOTA
6695,406091,1239537,e4dcda7fa43cfcaa58044c501b34f030,2.0,6.30000019,f,6.2,10.0,APROVADO POR NOTA
6696,406092,1239537,e4dcda7fa43cfcaa58044c501b34f030,3.0,7.0,f,6.2,10.0,APROVADO POR NOTA
6697,406093,1239537,d5b6a9bd6d773f925067353c53e8e8b1,1.0,2.70000005,t,5.0,14.0,APROVADO POR NOTA
6698,406094,1239537,d5b6a9bd6d773f925067353c53e8e8b1,2.0,4.80000019,f,5.0,14.0,APROVADO POR NOTA
