"professor";"aula";"aluno";"media"
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d0600a379a44be7cde770dfa25460055 ";"5.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"8d19f1158d92f6c789ad369ec989dc9f ";"8.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"06efc18f80e78fadb2e507e467725e73 ";"6.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"2e5945f8cd725c17f6dabe92d7f7f03f ";"6.3 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3383ba4f644dfbbc82f9148b8eca3e0f ";"5.9 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d1ba9caf01203f8bcb540b51f6fbe35a ";"7.9 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"5400c36d0d6ffae30f5ea6a2144e5a0b ";"8.4 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"130fa18e7cbe30c714f98937cf94abab ";"6.4 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"11611a414a1234325c7863e8d0783dc8 ";"0.8 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"06ea0294ba3439025e5e0ce371048585 ";"3.8 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"c58f8db5b0c907a7219e0b0d57c636a4 ";"5.8 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ca8909ce80b7ed85b87125c293a5f366 ";"5.8 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d0600a379a44be7cde770dfa25460055 ";"5.7 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"8d19f1158d92f6c789ad369ec989dc9f ";"8.7 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"06efc18f80e78fadb2e507e467725e73 ";"6.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"2e5945f8cd725c17f6dabe92d7f7f03f ";"6.3 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d580d12834f592d20163ca932fc19e80 ";"5.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"e283c75841119571423e79c6083f2ab8 ";"3.2 "
