,id_turma,codigo_turma,id_docente_interno,id_componente_curricular,local,ano,periodo,descricao_horario,total_solicitacoes,capacidade_aluno,situacao_turma,nome_disc,formacao_prof,id_prof,lotacao_prof,nome_prof,tipo_jornada_trabalho_prof,vinculo_prof
2992,57564847,04,5757540.0,52662.0,A308 - CIVT,2015,2.0,246N34 (27/07/2015 - 19/12/2015),25.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
3002,57564856,01,5755819.0,55022.0,B203 - CIVT,2015,2.0,246M34 (27/07/2015 - 19/12/2015),107.0,64.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755819.0,INSTITUTO METROPOLE DIGITAL,ANDERSON PAIVA CRUZ,Dedicação exclusiva           ,Ativo Permanente
3003,57564857,02,5755388.0,55022.0,A306 - CIVT,2015,2.0,246M56 (27/07/2015 - 19/12/2015),67.0,65.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755388.0,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,CARLOS AUGUSTO PROLO,Dedicação exclusiva           ,Ativo Permanente
3005,57564859,03,5757178.0,55022.0,B203 - CIVT,2015,2.0,246N12 (27/07/2015 - 19/12/2015),99.0,60.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
3007,57564861,04,5757178.0,55022.0,A306 - CIVT,2015,2.0,246N34 (27/07/2015 - 19/12/2015),42.0,60.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
5349,57576566,01,5756386.0,55031.0,SETOR III - 3H7,2016,1.0,246M1234 (01/02/2016 - 18/06/2016),7.0,77.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
5350,57576566,01,5757585.0,55031.0,SETOR III - 3H7,2016,1.0,246M1234 (01/02/2016 - 18/06/2016),7.0,77.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
5353,57576568,02,25889.0,55031.0,SETOR III - 3H6,2016,1.0,246M3456 (01/02/2016 - 18/06/2016),8.0,82.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
5354,57576568,02,5756386.0,55031.0,SETOR III - 3H6,2016,1.0,246M3456 (01/02/2016 - 18/06/2016),8.0,82.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
5355,57576569,03,5757669.0,55031.0,SETOR III - 3H7,2016,1.0,246N1234 (01/02/2016 - 18/06/2016),12.0,75.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
5356,57576569,03,5757178.0,55031.0,SETOR III - 3H7,2016,1.0,246N1234 (01/02/2016 - 18/06/2016),12.0,75.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
5358,57576571,04,5757928.0,55031.0,SETOR III - 3H6,2016,1.0,246N1234 (01/02/2016 - 18/06/2016),15.0,87.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
5359,57576571,04,5757178.0,55031.0,SETOR III - 3H6,2016,1.0,246N1234 (01/02/2016 - 18/06/2016),15.0,87.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
5360,57576572,05,5755819.0,55031.0,SETOR III - 3H6,2016,1.0,246T1234 (01/02/2016 - 18/06/2016),17.0,76.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5755819.0,INSTITUTO METROPOLE DIGITAL,ANDERSON PAIVA CRUZ,Dedicação exclusiva           ,Ativo Permanente
5361,57576572,05,5757585.0,55031.0,SETOR III - 3H6,2016,1.0,246T1234 (01/02/2016 - 18/06/2016),17.0,76.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
5379,57576589,01,5757928.0,52662.0,CIVT - A306,2016,1.0,246M12 (01/02/2016 - 18/06/2016),51.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
5380,57576589,01,5757540.0,52662.0,CIVT - A306,2016,1.0,246M12 (01/02/2016 - 18/06/2016),51.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
5381,57576590,02,5757540.0,52662.0,CIVT - A306,2016,1.0,246T12 (01/02/2016 - 18/06/2016),67.0,62.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
5382,57576591,03,5756813.0,52662.0,CIVT - A306,2016,1.0,246N12 (01/02/2016 - 18/06/2016),45.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
5386,57576595,01,5755388.0,55022.0,CIVT - A306,2016,1.0,246M56 (01/02/2016 - 18/06/2016),89.0,66.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755388.0,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,CARLOS AUGUSTO PROLO,Dedicação exclusiva           ,Ativo Permanente
5387,57576596,02,5757958.0,55022.0,CIVT - A306,2016,1.0,246T56 (01/02/2016 - 18/06/2016),72.0,66.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5757958.0,INSTITUTO METROPOLE DIGITAL,ATHANASIOS TSOUANAS,Dedicação exclusiva           ,Ativo Permanente
5388,57576597,03,5757178.0,55022.0,CIVT - A306,2016,1.0,246N34 (01/02/2016 - 18/06/2016),73.0,66.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
3404,57586202,01,5756386.0,55031.0,A308 - CIVT,2016,2.0,246T2345 (25/07/2016 - 17/12/2016),110.0,74.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
3405,57586202,01,5757585.0,55031.0,A308 - CIVT,2016,2.0,246T2345 (25/07/2016 - 17/12/2016),110.0,74.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
3424,57586215,02,25889.0,55031.0,B321,2016,2.0,246N1234 (25/07/2016 - 17/12/2016),76.0,69.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
3425,57586215,02,5757585.0,55031.0,B321,2016,2.0,246N1234 (25/07/2016 - 17/12/2016),76.0,69.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
